location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 42.43464701682233, ""longitude"": 2.909799496501051}",FONT DE LA MUNTANYA 17041-0012,"17708, Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA MUNTANYA del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 42.07049387729896, ""longitude"": 2.91052406648716}",FONT D'EN BARÓ 17050-0040,"Camí De La Font, 17464 Cervià de Ter, Girona, Spain",,,2024-05-11 16:26:21,,"FONT D'EN BARÓ del CERVIÀ DE TER de la Gironès, es Conques internes de Catalunya TER, EL , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 42.2931313800086, ""longitude"": 2.910246010025972}",FONT DE LA VILADEMONT 17093-0050,"Giv-5105, 17730 Llers, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA VILADEMONT del LLERS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Detrític neogen de l'EmpordàEmpordà",publico
"{""latitude"": 41.98648031425262, ""longitude"": 2.910786667965231}",FONT DELS ÀNGELS 17173-0022,"Giv-6703, 17462 Sant Martí Vell, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DELS ÀNGELS del SANT MARTÍ VELL de la Gironès, es Conques internes de Catalunya TER, EL , nan",publico
"{""latitude"": 42.01664643014971, ""longitude"": 2.91090998676945}",FONT DE GOTAI 17087-0032,"Carrer Del Mas Nadal 5, 17462 Juià, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE GOTAI del JUIÀ de la Gironès, es Conques internes de Catalunya TER, EL , nan",publico
"{""latitude"": 42.29563840780094, ""longitude"": 2.910554824448266}",FONT DE LA PORTELLA 17093-0002,"Passatge De Les Herbes 3, 17730 Llers, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA PORTELLA del LLERS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 42.01549135851401, ""longitude"": 2.911531182441989}",FONT DE LA GUITZA 17087-0040,"Camí De La Barrera, 17462 Juià, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA GUITZA del JUIÀ de la Gironès, es Conques internes de Catalunya TER, EL , Detrític neogen de l'EmpordàEmpordàPaleògens del Baix Ter",publico
"{""latitude"": 42.432975140487, ""longitude"": 2.918447569401526}",FONT DE LA FIGUERA 17041-0006,"Camí Del Cementiri, 17708 Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA FIGUERA del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 42.432975140487, ""longitude"": 2.918447569401526}",FONT DE LA FIGUERA 17041-0006,"Camí Del Cementiri, 17708 Cantallops, Girona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA FIGUERA del CANTALLOPS de la Alt Empordà, es Conques internes de Catalunya MUGA, LA , Conca alta de la MugaConca alta de la Muga",publico
"{""latitude"": 40.75038419971185, ""longitude"": 0.3201496261608547}",LA FONTETA 43133-0529,"Camí De Casetes Velles, 43514 Mas de Barberans, Tarragona, Spain",,,2024-05-11 16:26:21,,"LA FONTETA del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
