location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 41.38749, ""longitude"": 2.117788}",04-011. Octogonal Merlets - Palau de Pedralbes 04-011,"Octogonal Merlets - Palau de Pedralbes,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.388113, ""longitude"": 2.117284}",04-012. PALAU DE PEDRALBES (ESTANY DAVANT PALAU) 04-012,"Estany dels Geranis - Palau de Pedralbes,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.384908, ""longitude"": 2.112946}",04-013. ECONOMIQUES 04-013,"Diagonal - Zona Universitària,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.390139, ""longitude"": 2.118293}",04-014. PG. DELS TIL.LERS 04-014,"Font dels Jardins de William Shakespeare,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.386969, ""longitude"": 2.119564}",04-015. PALAU DE PEDRALBES (CIRCULAR PAVELLO) 04-015,"Font del Pavelló - Palau de Pedralbes,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.386924, ""longitude"": 2.117003}",04-016. PALAU DE PEDRALBES (ESTANY BARANA) 04-016,"Estany de la barana - Palau de Pedralbes,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.380714, ""longitude"": 2.129272}",04-017. Font dels Jardins dels Doctors Dolsa 04-017,"Font dels Jardins dels Doctors Dolsa,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.384532, ""longitude"": 2.127452}",04-018. Coberta de Carles III 04-018,"Coberta de Carles III,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.376979, ""longitude"": 2.109994}",04-019. Busseig - Commemoració dels Jocs Olímpics 04-019,"Busseig - Commemoració dels Jocs Olímpics de 1992,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.388468, ""longitude"": 2.116564}",04-020. FONT DELS TARONGERS 04-020,"Font dels Tarongers - Palau de Pedralbes,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.387436, ""longitude"": 2.116859}",04-021. PALAU DE PEDRALBES - LLAC COSTAT LLOBREGAT 04-021,"Llac del Palau de Pedralbes (Font Naturalitzada),  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.393424, ""longitude"": 2.122275}",05-001. Ofèlia ofegada - Canal de Vil·la Cecília 05-001,"Ofèlia ofegada - Canal dels Jardins de la Vil·la Cecília,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.403497, ""longitude"": 2.130384}",05-002. Font dels Jardins del Dr Roig i Raventós 05-002,"Font dels Jardins del Doctor Roig i Raventós,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.40139, ""longitude"": 2.133101}",05-003. Escultura infinita 05-003,"Escultura infinita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.394584, ""longitude"": 2.14072}",05-004. Circular de les magnòlies - Turó Parc 05-004,"Circular de les magnòlies - Turó Parc,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.395159, ""longitude"": 2.140209}",05-005. Biga de la Font de l'Aurora - Turó Parc 05-005,"Biga de la Font de l'Aurora - Turó Parc,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.394119, ""longitude"": 2.141844}",05-006. Monument a Pau Casals 05-006,"Monument a Pau Casals,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.397762, ""longitude"": 2.119694}",05-007. J. V. FOIX 05-007,"Avinguda Foix - Pedró de la Creu,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.405352, ""longitude"": 2.135262}",05-008. Bassa del Jardí Terapèutic Vil·la Florida 05-008,"Bassa del Jardí Terapèutic de Vil·la Florida,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.40271, ""longitude"": 2.114841}",05-009. Estany circular Jardins de Can Sentmenat 05-009,"Estany circular dels Jardins de Can Sentmenat,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.392751, ""longitude"": 2.144636}",05-010. Estany menorquí de la Plaça Francesc Macià 05-010,"Estany menorquí de la Plaça Francesc Macià,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.394925, ""longitude"": 2.141186}",05-011. Bassa Petita - Turó Parc 05-011,"Bassa Petita - Turó Parc,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.394281, ""longitude"": 2.140301}",05-012. Estany dels Nenúfars - Turó Parc 05-012,"Estany dels Nenúfars - Turó Parc,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410308, ""longitude"": 2.136028}",05-013. Estany dels Lleons - La Tamarita 05-013,"Estany dels Lleons - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410118, ""longitude"": 2.135996}",05-014. Lateral Entrada Llobregat - La Tamarita 05-014,"Lateral Entrada Llobregat - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410234, ""longitude"": 2.136267}",05-015. Lateral Entrada Bessòs - La Tamarita 05-015,"Lateral Entrada Bessòs - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410296, ""longitude"": 2.135735}",05-016. Copa del Jard de les Gardènies - Tamarita 05-016,"Doble Copa del Jardí de les Gardènies - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410683, ""longitude"": 2.135035}",05-017. Font de terracota - Jardins de La Tamarita 05-017,"Font de terracota - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410072, ""longitude"": 2.135428}",05-018. Font de les Granotes - Jard de la Tamarita 05-018,"Font de les Granotes - Jardins de la Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410815, ""longitude"": 2.134838}",05-019. Cascada clàssica - Jardins de La Tamarita 05-019,"Cascada clàssica - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.392728, ""longitude"": 2.12264}",05-020. Estany de la Dríade - Vil·la Amèlia 05-020,"Estany de la Dríade - Jardins de la Vil·la Amèlia,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.392581, ""longitude"": 2.136244}",05-021. Estany dels Jardins de Piscines i Esports 05-021,"Estany dels Jardins de Piscines i Esports,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.409367, ""longitude"": 2.136292}",05-022. JARDINS PASSATGE MALUQUER 05-022,"Font dels Jardins del Passatge de Maluquer,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.401231, ""longitude"": 2.139084}",05-023. Font de la Lliçó 05-023,"Font de la Lliçó,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.410567, ""longitude"": 2.135218}",05-024. Font dels Cignes - Jardins de La Tamarita 05-024,"Font dels Cignes - Jardins de La Tamarita,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.396427, ""longitude"": 2.147071}",Cascada Jardins Muñoz i Ramonet 05-025,"Carrer Muntaner 282-290 - Jardins Muñoz i Ramonet,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.396414, ""longitude"": 2.147504}",Làmina Jardins Muñoz i Ramonet 05-026,"Carrer Muntaner 282-290 - Jardins Muñoz i Ramonet,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.397738, ""longitude"": 2.157925}",06-001. Sortidor de l'Aurora - Jardins de Salvador 06-001,"Sortidor de l'Aurora - Jardins de Salvador Espriu,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.406393, ""longitude"": 2.152029}",06-002. Font a les Colles de Sant Medir 06-002,"Font a les Colles de Sant Medir,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
"{""latitude"": 41.418389, ""longitude"": 2.146136}",06-006. Estany Superior de la Creueta del Coll 06-006,"Estany Superior de la Creueta del Coll,  ",,,2024-05-11 19:54:35,,Font ornamental/Llac,
